Region_ID,Region,Year,Treatment,Total-City,Total(KAZ)-City,Total(RUS)-City,Total(Low)-City,Total(Low)-City %,KAZ(Low)-City,RUS(Low)-City,Total(Low-Mid)-City,KAZ(Low-Mid)-City,RUS(Low-Mid)-City,Toal(Low+Low-Mid)-City,Toal(Low+Low-Mid)-City-%,Total(Mid)-City,KAZ(Mid)-City,RUS(Mid)-City,Total(High-Mid)-City,KAZ(High-Mid)-City,RUS(High-Mid)-City,Total(High)-City,Total(High)-City-%,Total(High)-City-% of Column,KAZ(High)-City,RUS(High)-City,Total-Rural,Total(KAZ)-Rural,Total(RUS)-Rural,Total(Low)-Rural,Total(Low)-Rural-%,KAZ(Low)-Rural,RUS(Low)-Rural,Total(Low-Mid)-Rural,KAZ(Low-Mid)-Rural,RUS(Low-Mid)-Rural,Total(Mid)-Rural,KAZ(Mid)-Rural,RUS(Mid)-Rural,Total(High-Mid)-Rural,KAZ(High-Mid)-Rural,RUS(High-Mid)-Rural,Total(High)-Rural,KAZ(High)-Rural,RUS(High)-Rural,Population,Population_City,Population_Rural,New_Schools,Number_of_Schools_City,Number_of_Schools_Rural,Number_of_Students,Number_of_Students_City ,Number_of_Students_Rural,Number_of_Teachers,Percent_of_Students_Covered_Avg,Percent_of_Students_Covered_City,Percent_of_Students_Covered_Rural,Students_per_School_City,Students_per_School_Rural,Students_per_School_Total,Students_Per_Teacher,Teachers_per_School,Total_Low,Total_Low-Mid,Total_Mid,Total_High-Mid,Total_High,Low_%,Low-Mid%,Mid_%,High_Mid%,High_%
9,Karaganda,2015,0,3526,1695,1831,107,0.03,57,50,755,380,375,862,0.24,1373,671,702,698,315,383,593,0.17,0.08,272,321,1451,1121,330,148,0.1,121,27,571,430,141,475,377,98,157,120,37,100,73,27,1378298,1088300,289998,1,225,338,180193,136136,44057,21229.88,92.9,98.9,86.89,605,130,320,8,38,255,1326,1848,855,693,5.12%,26.64%,37.13%,17.18%,13.92%
10,Kostanay,2015,0,1322,398,924,38,0.03,13,25,260,86,174,298,0.23,466,121,345,274,80,194,284,0.21,0.04,98,186,1354,549,805,130,0.1,86,44,475,203,272,496,179,317,170,53,117,83,28,55,881456,460239,421217,1,95,470,101802,50476,51326,14127.42,98.06,114.46,81.66,531,109,180,7,25,168,735,962,444,367,6.28%,27.47%,35.95%,16.59%,13.71%
11,Kyzylorda,2015,0,1619,1408,211,69,0.04,56,13,380,334,46,449,0.28,614,526,88,271,233,38,285,0.18,0.04,259,26,2563,2429,134,56,0.02,51,5,620,597,23,1047,1002,45,491,451,40,349,328,21,753148,325060,428088,13,63,243,130112,51180,78932,18773.82,102.26,114.54,89.98,812,325,425,7,61,125,1000,1661,762,634,2.99%,23.91%,39.72%,18.22%,15.16%
12,Mangystau,2015,0,1489,1193,296,121,0.08,103,18,459,381,78,580,0.39,503,411,92,221,164,57,185,0.12,0.02,134,51,1247,1219,28,103,0.08,103,0,429,415,14,429,419,10,172,171,1,114,111,3,606892,298734,308158,4,52,93,108752,47627,61125,9030.07,104.45,110.18,98.71,916,657,750,12,62,224,888,932,393,299,8.19%,32.46%,34.06%,14.36%,10.93%
13,North Kazakhstan,2015,0,866,249,617,33,0.04,8,25,211,55,156,244,0.28,329,95,234,156,49,107,137,0.16,0.02,42,95,1490,647,843,107,0.07,53,54,478,210,268,547,222,325,228,101,127,130,61,69,571759,243112,328647,34,261,792,570719,245541,325178,52307.18,104.36,116.87,91.85,941,411,542,11,50,140,689,876,384,267,5.94%,29.24%,37.18%,16.30%,11.33%
14,Pavlodar,2015,0,1659,643,1016,98,0.06,32,66,370,124,246,468,0.28,570,210,360,275,104,171,346,0.21,0.05,173,173,949,597,352,83,0.09,48,35,273,155,118,329,204,125,144,107,37,120,83,37,755778,529911,225867,1,65,493,71900,27749,44151,13680.5,102.9,120.4,85.39,427,90,129,5,25,181,643,899,419,466,6.94%,24.65%,34.47%,16.07%,17.87%
16,Turkistan,2015,0,7029,5691,1338,537,0.08,450,87,1464,1179,285,2001,0.28,2055,1649,406,1250,1004,246,1723,0.25,0.23,1409,314,11096,10421,675,1212,0.11,1104,108,3170,2954,216,3684,3502,182,1585,1507,78,1445,1354,91,2788404,1247454,1540950,5,96,322,92018,60906,31112,12257.18,96.47,107.45,85.49,634,97,220,8,29,1749,4634,5739,2835,3168,9.65%,25.57%,31.66%,15.64%,17.48%
17,West Kazakhstan,2015,0,1208,688,520,28,0.02,24,4,199,104,95,227,0.19,431,239,192,285,152,133,265,0.22,0.04,169,96,1908,1518,390,52,0.03,37,15,476,390,86,737,578,159,357,285,72,286,228,58,629951,312305,317646,5,72,339,90767,44437,46330,14094.2,111.98,137.06,86.9,617,137,221,6,34,80,675,1168,642,551,2.57%,21.66%,37.48%,20.60%,17.68%
1,Akmola,2016,0,1635,815,820,162,0.1,100,62,491,216,275,653,0.4,490,237,253,223,119,104,269,0.16,0.03,143,126,1493,862,631,104,0.07,53,51,423,216,207,560,323,237,207,131,76,199,139,60,744386,351226,393160,4,97,502,112363,49892,62471,15616,114.16,130.6,97.72,514,124,188,7,26,266,914,1050,430,468,8.50%,29.22%,33.57%,13.75%,14.96%
2,Aktobe,2016,0,2680,1928,752,169,0.06,130,39,536,335,201,705,0.26,782,526,256,469,336,133,724,0.27,0.09,601,123,1918,1693,225,160,0.08,148,12,489,414,75,583,495,88,276,255,21,410,381,29,834768,521180,313588,6,102,336,126386,72732,53654,16920,105.95,115.61,96.28,713,160,289,7,39,329,1025,1365,745,1134,7.16%,22.29%,29.69%,16.20%,24.66%
